,intel_image_param_search_0_0,intel_image_param_search_0_1,intel_image_param_search_0_2,intel_image_param_search_0_3,intel_image_param_search_0_4,intel_image_param_search_0_5,intel_image_param_search_0_6,intel_image_param_search_0_7,intel_image_param_search_0_8,intel_image_param_search_0_9,intel_image_param_search_0_10,intel_image_param_search_0_11,intel_image_param_search_0_12,intel_image_param_search_0_13,intel_image_param_search_0_14,intel_image_param_search_0_15,,,,,,,,,,,,,,,,
evaluationSize,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,,,,,,,,,,,,,,,,
TVPoolSize,2000,2000,2000,2000,2000,2000,2000,2000,10000,10000,10000,10000,10000,10000,10000,10000,,,,,,,,,,,,,,,,
validationRatio,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,
predictionSize,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,,,,,,,,
citizenWeight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
confidentThreshold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
numALSamplesPerIter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
activeLearningLabeler,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,simulated,,,,,,,,,,,,,,,,
alSelectionCriteria,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,random,,,,,,,,,,,,,,,,
SSLType,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,boosted,,,,,,,,,,,,,,,,
classNoise,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,
classImbalance,"[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]",,,,,,,,,,,,,,,,
